Make,Model,Year,Mileage,Price,Fuel,Registration_City,Documents,Assembly,Transmission,Car_Age,Mileage_Per_Year
Toyota,Passo,2021,54000,4190000,Petrol,Unregistered,Original,Imported,Automatic,5,9000.0
Suzuki,Ravi,2018,95000,1300000,Petrol,Karachi,Original,Local,Manual,8,10555.555555555555
Suzuki,Bolan,2015,50000,800000,Petrol,Karachi,Original,Local,Manual,11,4166.666666666667
Daihatsu,Move,2013,94000,2155000,Petrol,Lahore,Original,Imported,Automatic,13,6714.285714285715
Suzuki,Swift,2011,126544,1440000,Petrol,Karachi,Original,Local,Manual,15,7909.0
Suzuki,Wagon R,2020,54000,2830000,Petrol,Lahore,Original,Local,Automatic,6,7714.285714285715
Daihatsu,Mira,2013,140000,2150000,Petrol,Karachi,Original,Imported,Automatic,13,10000.0
Suzuki,Bolan,2016,32000,1050000,Petrol,Karachi,Original,Local,Manual,10,2909.090909090909
Honda,City IDSI,2004,160000,1230000,Petrol,Sindh,Original,Local,Manual,22,6956.521739130435
Suzuki,Cultus VXR,2008,75000,950000,Petrol,Faisalabad,Original,Local,Manual,18,3947.3684210526317
Suzuki,Every,2018,101628,1850000,Petrol,Islamabad,Original,Imported,Automatic,8,11292.0
Toyota,Corolla XLI,2007,346000,1895000,Petrol,Lahore,Original,Local,Manual,19,17300.0
Suzuki,Baleno,2004,140000,930000,Petrol,Karachi,Original,Imported,Manual,22,6086.95652173913
Honda,City Vario,2006,80000,1670000,Petrol,Karachi,Original,Imported,Automatic,20,3809.5238095238096
Daihatsu,Move,2021,6500,3499000,Petrol,Unregistered,Original,Imported,Automatic,5,1083.3333333333333
Daihatsu,Terios Kid,2004,123123,1425000,Petrol,Sialkot,Original,Imported,Automatic,22,5353.173913043478
Daihatsu,Move,2013,73000,2150000,Petrol,Lahore,Original,Imported,Automatic,13,5214.285714285715
Honda,Civic Prosmetic,2007,160000,1670000,Petrol,Karachi,Original,Local,Automatic,19,8000.0
Suzuki,Cultus VXR,2006,80000,900000,Petrol,Lahore,Original,Imported,Manual,20,3809.5238095238096
Daihatsu,Mira,2011,115000,660000,Petrol,Unregistered,Duplicate,Imported,Automatic,15,7187.5
Honda,City IVTEC,2023,112076,3400000,Petrol,Islamabad,Original,Local,Manual,3,28019.0
Toyota,Corolla XLI,2008,100000,1920000,CNG,Lahore,Original,Imported,Manual,18,5263.1578947368425
Suzuki,Wagon R,2014,125000,1600000,Petrol,Karachi,Original,Local,Manual,12,9615.384615384615
Hyundai,Santro,2007,84298,890000,Petrol,Gujranwala,Original,Local,Manual,19,4214.9
Toyota,Corrolla Altis,2019,49000,4475000,Petrol,Karachi,Original,Local,Automatic,7,6125.0
Suzuki,Cultus VXR,2009,52000,1050000,Petrol,Lahore,Original,Local,Manual,17,2888.8888888888887
Honda,City Aspire,2021,75000,4199000,Petrol,Lahore,Original,Local,Automatic,5,12500.0
Suzuki,Mehran VXR,2009,96000,620000,Petrol,Faisalabad,Original,Local,Manual,17,5333.333333333333
Daihatsu,Cuore,2006,100000,1000000,Petrol,Lahore,Original,Imported,Manual,20,4761.9047619047615
Honda,Civic Prosmetic,2009,105700,1825000,Petrol,Karachi,Original,Local,Automatic,17,5872.222222222223
Mitsubishi,Pajero Mini,2007,100000,1025000,Petrol,Islamabad,Original,Imported,Manual,19,5000.0
Suzuki,Swift,2017,90000,2100000,Petrol,Karachi,Original,Local,Manual,9,9000.0
Toyota,Passo,2015,55600,3090000,Petrol,Karachi,Original,Imported,Automatic,11,4633.333333333333
Honda,City IVTEC,2013,130000,2650000,Petrol,Karachi,Original,Local,Automatic,13,9285.714285714286
Honda,City IVTEC,2013,85000,3100000,Petrol,Islamabad,Original,Local,Manual,13,6071.428571428572
KIA,Picanto,2021,14600,3000000,Petrol,Lahore,Original,Local,Automatic,5,2433.3333333333335
Daihatsu,Cuore,2007,100000,830000,Petrol,Karachi,Original,Imported,Manual,19,5000.0
Suzuki,Bolan,2015,50000,950000,Petrol,Punjab,Original,Local,Manual,11,4166.666666666667
Honda,City Aspire,2021,64000,4500000,Petrol,Punjab,Original,Local,Automatic,5,10666.666666666666
Suzuki,Alto,2012,58600,1165000,Petrol,Karachi,Original,Local,Manual,14,3906.6666666666665
Changan,Karvaan,2021,27000,2250000,Petrol,Karachi,Original,Local,Manual,5,4500.0
Suzuki,Swift,2016,92900,2225000,Petrol,Lahore,Original,Local,Manual,10,8445.454545454546
Suzuki,Ravi,2015,65000,700000,Petrol,Lahore,Original,Local,Manual,11,5416.666666666667
Suzuki,Baleno,2005,109000,1380000,Petrol,Islamabad,Original,Local,Manual,21,4954.545454545455
FAW,X-PV,2016,156000,875000,Petrol,Multan,Original,Imported,Manual,10,14181.818181818182
Daihatsu,Mira,2013,60000,2200000,Petrol,Karachi,Original,Imported,Automatic,13,4285.714285714285
Toyota,Corolla XLI,2017,300000,2720000,Petrol,Lahore,Original,Local,Manual,9,30000.0
Suzuki,Alto,2023,15000,2900000,Petrol,Punjab,Original,Local,Automatic,3,3750.0
Daihatsu,Mira,2011,82356,2010000,Petrol,Lahore,Original,Imported,Automatic,15,5147.25
Suzuki,Bolan,2014,80000,1130000,Petrol,Lahore,Original,Imported,Manual,12,6153.846153846154
Suzuki,Alto,2003,90000,680000,Petrol,Karachi,Original,Local,Manual,23,3750.0
Daihatsu,Hijet,2016,123456,1850000,Petrol,Karachi,Original,Imported,Automatic,10,11223.272727272728
Daihatsu,Cuore,2010,70000,830000,Petrol,Karachi,Original,Local,Manual,16,4117.64705882353
Mitsubishi,Ek Wagon,2013,83000,2000000,Petrol,Karachi,Original,Imported,Automatic,13,5928.571428571428
Suzuki,Swift,2022,13000,4750000,Petrol,Karachi,Original,Local,Automatic,4,2600.0
Suzuki,Baleno,2004,249000,900000,Petrol,Karachi,Original,Imported,Manual,22,10826.08695652174
Suzuki,Wagon R,2012,120000,2100000,Petrol,Lahore,Original,Imported,Automatic,14,8000.0
Suzuki,Bolan,2007,50000,850000,Petrol,Rawalpindi,Original,Imported,Manual,19,2500.0
Toyota,Passo,2018,80000,3750000,Petrol,Islamabad,Original,Imported,Automatic,8,8888.888888888889
Toyota,Corolla XLI,2011,123456,2070000,Petrol,Lahore,Original,Local,Manual,15,7716.0
Toyota,Altis Grande,2014,150000,3300000,Petrol,Sindh,Original,Imported,Manual,12,11538.461538461539
Mercedes,E Class,2003,120000,3600000,Petrol,Sindh,Original,Imported,Automatic,23,5000.0
Honda,City IDSI,2006,152000,1700000,Petrol,Karachi,Original,Local,Manual,20,7238.0952380952385
Hyundai,Santro,2002,100000,650000,Petrol,Sindh,Original,Local,Manual,24,4000.0
Daihatsu,Move,2021,100000,2900000,Petrol,Punjab,Original,Imported,Automatic,5,16666.666666666668
Honda,City IDSI,2001,40000,950000,Petrol,Karachi,Original,Imported,Automatic,25,1538.4615384615386
